2026-04-20 14:05:15.208 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [010820|퍼스텍] BUY: 보류 — 1일 수익률 +15.7%(≥+15%), 5일 수익률 +30.5%(≥+25%), RSI 84
2026-04-20 14:05:15.349 | INFO     | __main__:check_signals:616 - LLM 보류: 퍼스텍 BUY — 1일 수익률 +15.7%(≥+15%), 5일 수익률 +30.5%(≥+25%), RSI 84(≥80 + 1일≥+7%) 등 BUY 보류 조건 다수 동시 충족 — 극단적 과열 급등 구간으로 매수 차단.
2026-04-20 14:05:22.034 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [093370|후성] BUY: 보류 — 5일 수익률 +18.6%, 20일 +82.0%로 단기 급등 누적 과열 상태이며, 1일 -5
2026-04-20 14:05:22.149 | INFO     | __main__:check_signals:616 - LLM 보류: 후성 BUY — 5일 수익률 +18.6%, 20일 +82.0%로 단기 급등 누적 과열 상태이며, 1일 -5.9% 하락 음봉 출현으로 추세 피로 신호가 명확해 BUY 진입은 위험 대비 불리.
2026-04-20 14:05:28.757 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [034220|LG디스플레이] BUY: 보류 — RSI 81로 과열 기준(≥80) 충족, 5일 수익률 +12.2%로 단기 급등 누적 상태이
2026-04-20 14:05:28.817 | INFO     | __main__:check_signals:616 - LLM 보류: LG디스플레이 BUY — RSI 81로 과열 기준(≥80) 충족, 5일 수익률 +12.2%로 단기 급등 누적 상태이며, 20일 수익률 +26.1%까지 겹쳐 추가 상승 여력보다 단기 조정 리스크가 높음.
2026-04-20 14:05:33.650 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [001440|대한전선] BUY: 보류 — 5일 수익률 +27.1%로 단기 급등 누적 기준(≥+25%)을 초과하며, RSI 77 + 
2026-04-20 14:05:33.709 | INFO     | __main__:check_signals:616 - LLM 보류: 대한전선 BUY — 5일 수익률 +27.1%로 단기 급등 누적 기준(≥+25%)을 초과하며, RSI 77 + 거래량 2.4배 동반으로 과열 신호 명확. BUY 보류 조건 해당.
2026-04-20 14:05:38.072 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [005930|삼성전자] SELL: 보류 — 현재가가 MA5·MA20·MA60 모두 상회하고, RSI 75(과열 미도달), 1일 수익률
2026-04-20 14:05:38.126 | INFO     | __main__:check_signals:616 - LLM 보류: 삼성전자 SELL — 현재가가 MA5·MA20·MA60 모두 상회하고, RSI 75(과열 미도달), 1일 수익률 +0.2%(보합), 5일 수익률 +4.8%로 SELL 보류 5개 조건을 모두 충족하는 상승추세 중 일시 눌림 국면에 해당하며, 거래량도 평균의 0.5배로 매도 압력이 약해 SELL 확정 근거 부족.
2026-04-20 14:05:41.979 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [006340|대원전선] SELL: 보류 — 현재가 MA5/MA20 모두 상회, RSI 69(과열 미도달), 1일 +4.0%, 5일 +
2026-04-20 14:05:42.035 | INFO     | __main__:check_signals:616 - LLM 보류: 대원전선 SELL — 현재가 MA5/MA20 모두 상회, RSI 69(과열 미도달), 1일 +4.0%, 5일 +16.9%로 상승추세 유지 중이며 거래량도 평균 수준 — SELL 보류 5조건 모두 충족하는 전형적 상승추세 내 눌림 구간으로 판단.
2026-04-20 14:05:55.066 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [489790|한화비전] BUY: 보류 — RSI 70 + 1일 수익률 +6.7%로 과열 임박 구간이며, 거래량 1.9배 동반 급등으
2026-04-20 14:05:55.161 | INFO     | __main__:check_signals:616 - LLM 보류: 한화비전 BUY — RSI 70 + 1일 수익률 +6.7%로 과열 임박 구간이며, 거래량 1.9배 동반 급등으로 단기 고점 리스크 존재. BUY 진입 시 추격 매수 위험이 높아 보류.
2026-04-20 14:05:59.366 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [090460|비에이치] BUY: 보류 — RSI 80 AND 1일 수익률 +7.2%로 BUY 보류 조건(RSI ≥ 80 AND 1일
2026-04-20 14:05:59.427 | INFO     | __main__:check_signals:616 - LLM 보류: 비에이치 BUY — RSI 80 AND 1일 수익률 +7.2%로 BUY 보류 조건(RSI ≥ 80 AND 1일 수익률 ≥ +7%) 정확히 충족, 5일 수익률 +43.5%로 단기 급등 누적(≥ +25%) 조건도 해당되어 과열 매수 차단.
2026-04-20 14:06:03.436 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [005690|파미셀] SELL: 보류 — 현재가가 MA5·MA20·MA60 모두 상회하고, RSI 74(과열 미달), 1일 +2.8
2026-04-20 14:06:03.487 | INFO     | __main__:check_signals:616 - LLM 보류: 파미셀 SELL — 현재가가 MA5·MA20·MA60 모두 상회하고, RSI 74(과열 미달), 1일 +2.8%, 5일 +8.3%로 SELL 보류 5조건을 모두 충족하는 전형적인 상승추세 중 눌림 구간이며, 거래량도 평균 수준으로 이탈 신호 없음.
2026-04-20 14:06:07.520 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [000990|DB하이텍] BUY: 보류 — 1일 수익률 +17.3%(≥+15%)와 5일 수익률 +29.7%(≥+25%) 모두 단독 보
2026-04-20 14:06:07.579 | INFO     | __main__:check_signals:616 - LLM 보류: DB하이텍 BUY — 1일 수익률 +17.3%(≥+15%)와 5일 수익률 +29.7%(≥+25%) 모두 단독 보류 조건에 해당하며, RSI 87(≥80)과 급등이 동반된 극단적 과열 상태. 거래량 2.5배 급증까지 겹쳐 추격 매수 위험 매우 높음.
2026-04-20 14:06:09.417 | INFO     | __main__:check_signals:664 - 시그널 체크 완료: 30종목 — BUY:9 SELL:3 HOLD:18 오류:0
2026-04-20 14:10:01.477 | INFO     | src.broker.account:get_balance:110 - 잔고 조회: 총평가 11,286,581원, 손익 -19,275원 (0.00%), 보유 9종목
2026-04-20 14:10:05.650 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [019170|신풍제약] BUY: 보류 — 5일 수익률 +16.6% 및 1일 -9.7% 급락 + 거래량 4.5배 급증 음봉으로 단기 
2026-04-20 14:10:05.702 | INFO     | __main__:check_signals:616 - LLM 보류: 신풍제약 BUY — 5일 수익률 +16.6% 및 1일 -9.7% 급락 + 거래량 4.5배 급증 음봉으로 단기 과열 후 강한 매도 압력이 확인되며, BUY 진입 시 추가 하락 리스크가 크다.
2026-04-20 14:10:10.085 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [009150|삼성전기] BUY: 보류 — RSI 90으로 극단적 과매수 단독 조건 충족, 20일 수익률 +56.5%·5일 +17.1
2026-04-20 14:10:10.143 | INFO     | __main__:check_signals:616 - LLM 보류: 삼성전기 BUY — RSI 90으로 극단적 과매수 단독 조건 충족, 20일 수익률 +56.5%·5일 +17.1%의 누적 급등 상태로 BUY 진입 시 고점 매수 위험이 매우 높음.
2026-04-20 14:10:15.092 | INFO     | src.timing.llm_validator:validate_signal:240 - LLM 검증 [010820|퍼스텍] BUY: 보류 — 1일 수익률 +17.2%(≥+15%), 5일 수익률 +32.2%(≥+25%), RSI 84
